,official_name,level,speakers,country,missing_speakers,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use,years_since_obs
0,!Xun,Vulnerable,18000,South Africa;Namibia;Angola,0,0,0,0,0,0,3,68.819,75.7,1.0
1,'Ôrôê,Endangered,590,New Caledonia,0,0,0,0,0,0,1,72.719,82.0,7.0
2,(Lower) Tanana,Critically Endangered,25,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
3,A'ingae,Vulnerable,1500,Colombia;Ecuador,0,0,0,0,0,0,2,82.354,77.3,1.0
4,Aasáx,Dormant,0,Tanzania,0,0,0,0,0,0,1,37.409,29.1,1.0
5,Abaga,Critically Endangered,5,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
6,Abai Sungai,Endangered,500,Malaysia,0,0,0,0,0,0,1,78.716,97.7,1.0
7,Abau,Threatened,7000,Papua New Guinea,0,0,0,0,0,1,1,13.723,24.1,1.0
8,Abaza,Vulnerable,47880,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
9,Abellen Ayta,Threatened,3500,Philippines,0,0,0,0,0,0,1,48.287,83.8,1.0
10,Abinomn,Critically Endangered,50,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
11,Abom,Critically Endangered,15,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
12,Abu,Threatened,2347,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
13,Abu',Threatened,2560,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
14,Abui,Threatened,16000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
15,Abun,Threatened,3000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
16,Achagua,Endangered,283,Colombia,0,0,0,0,0,0,1,82.354,77.3,1.0
17,Aché,Severely Endangered,200,Paraguay,0,0,0,0,0,0,1,63.149,78.1,1.0
18,Acheron,Vulnerable,70000,Sudan,0,0,0,0,0,0,1,36.342,26.4,4.0
19,Achi',Vulnerable,51593,Guatemala,0,0,0,0,0,0,1,53.098,56.1,1.0
20,Achuar,Threatened,5443,Peru;Ecuador,0,0,0,0,0,0,2,78.922,79.5,1.0
21,Achumawi,Critically Endangered,10,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
22,Acoma-Laguna,Threatened,4000,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
23,Adamorobe Sign Language,Threatened,35,Ghana,0,0,0,0,0,0,1,59.238,69.9,1.0
24,Adang,Endangered,7000,Indonesia,0,0,1,0,0,0,1,58.572,69.2,1.0
25,Adasen Itneg,Threatened,4000,Philippines,0,0,0,0,0,0,1,48.287,83.8,1.0
26,Adi,At risk,100190,India;China,0,0,1,0,0,1,2,64.57,77.5,1.0
27,Adithinngithigh,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
28,Adnyamathanha,Endangered,100,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
29,Adzera,Vulnerable,28900,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
30,Aer,Endangered,200,Pakistan,0,0,0,0,0,0,1,38.04,27.4,1.0
31,Afitti,Endangered,4000,Sudan,0,0,0,0,0,0,1,36.342,26.4,4.0
32,Afra,Threatened,115,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
33,Aftari,Endangered,500,"Iran, Islamic Rep.",0,0,0,0,0,0,1,77.257,79.6,1.0
34,Agavotaguerra,Dormant,0,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
35,Aghu-Tharnggala,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
36,Aghul,Threatened,18000,Russian Federation;Azerbaijan,0,0,0,0,0,0,2,75.331,92.2,1.0
37,Agi,Endangered,670,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
38,Aguaruna,Vulnerable,55000,Peru,0,0,0,0,0,0,1,78.922,79.5,1.0
39,Aguna,Threatened,3470,Benin,0,0,0,0,0,0,1,50.1,32.2,1.0
40,Agwamin,Critically Endangered,1,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
41,Ahamb,Endangered,968,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
42,Àhàn,Endangered,300,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
43,Ahtna,Critically Endangered,30,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
44,Aikanã,Vulnerable,200,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
45,Aiku,Endangered,819,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
46,Aimele,Endangered,140,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
47,Aimol,Endangered,2640,India,0,0,0,0,0,0,1,36.364,55.9,2.0
48,Ainbai,Endangered,110,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
49,Ainu (China),Threatened,12000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
50,Ainu (Japan),Critically Endangered,2,Japan,0,0,0,0,0,0,1,92.043,87.0,1.0
51,Aiome,Endangered,620,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
52,Aisi,Endangered,250,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
53,Äiwoo,Vulnerable,7926,Solomon Islands,0,0,0,0,0,0,1,26.037,42.5,1.0
54,Aja,Endangered,200,Sudan,0,0,0,0,0,0,1,36.342,26.4,4.0
55,Ajumbu,Endangered,300,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
56,Ak,Severely Endangered,80,Papua New Guinea,0,2,5,11,2,2,1,13.723,24.1,1.0
57,Aka,Endangered,3,Sudan,0,0,1,2,0,0,1,36.342,26.4,4.0
58,Aka-Bo,Dormant,0,India,1,0,0,0,0,0,1,36.364,55.9,2.0
59,Aka-Kora,Dormant,0,India,1,0,0,0,0,0,1,36.364,55.9,2.0
60,Akateko,Threatened,5572,Guatemala;Mexico,0,0,0,0,0,0,2,81.582,81.2,1.0
61,Ake,Vulnerable,2000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
62,Akeu,Threatened,5000,China;Myanmar;Thailand,0,0,0,0,0,0,3,64.57,89.5,1.0
63,Akhvakh,Threatened,5000,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
64,Akkala Saami,Critically Endangered,1,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
65,Akoye,Endangered,800,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
66,Akum,Endangered,600,Nigeria;Cameroon,0,0,0,0,0,0,2,59.315,41.9,1.0
67,Akuntsú,Critically Endangered,3,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
68,Al-Sayyid Bedouin Sign Language,Endangered,150,Israel,0,0,0,0,0,0,1,92.854,87.0,1.0
69,Alabama,Endangered,300,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
70,Alabugat Tatar,Threatened,400,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
71,Alago,Vulnerable,15000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
72,Alagwa,Threatened,10000,Tanzania,0,0,0,0,0,0,1,37.409,29.1,1.0
73,Alamblak,Threatened,1200,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
74,Alawa,Critically Endangered,17,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
75,Albarradas Zapotec,Threatened,5500,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
76,Alekano,Vulnerable,25000,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
77,Aleut,Endangered,100,Russian Federation;United States,0,0,0,0,0,0,2,83.298,93.1,1.0
78,Alfendio,Endangered,633,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
79,Algherese Catalan,Vulnerable,30000,Italy,0,0,0,0,0,0,1,71.973,87.0,1.0
80,Allar,Endangered,350,India,0,0,0,0,0,0,1,36.364,55.9,2.0
81,Alngith,Critically Endangered,3,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
82,Alto Marañón Quechua,Vulnerable,83400,Peru,0,0,0,0,0,0,1,78.922,79.5,1.0
83,Alu,Threatened,1880,Papua New Guinea,0,1,1,1,1,0,1,13.723,24.1,1.0
84,Alu Kurumba,Threatened,1000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
85,Alune,Vulnerable,12000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
86,Aluo,Endangered,40000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
87,Alutiiq,Severely Endangered,200,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
88,Alutor,Severely Endangered,2000,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
89,Alyawarr,Vulnerable,1664,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
90,Ama,Vulnerable,450,Papua New Guinea,0,3,2,1,4,0,1,13.723,24.1,1.0
91,Amahai,Critically Endangered,50,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
92,Amal,Endangered,388,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
93,Amami,Severely Endangered,37000,Japan,0,0,0,0,0,0,1,92.043,87.0,1.0
94,Amanab,Threatened,3500,Indonesia;Papua New Guinea,0,0,0,0,0,0,2,58.572,69.2,1.0
95,Amara,Endangered,231,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
96,Amarasi,Vulnerable,70000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
97,Ambakich,Endangered,770,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
98,Ambele,Vulnerable,3600,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
99,Ambulas,Vulnerable,33000,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
100,Ampari,Threatened,5200,Mali,0,0,0,0,0,0,1,46.189,35.1,1.0
101,Ampibabo,Threatened,6000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
102,Amto,Endangered,230,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
103,Amur Nivkh,Severely Endangered,500,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
104,Amurdak,Critically Endangered,5,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
105,Anaang,Vulnerable,733040,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
106,Anakalangu,Vulnerable,25000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
107,Anam,Threatened,1070,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
108,Andajin,Critically Endangered,2,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
109,Andarum,Endangered,830,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
110,Ande,Endangered,500,Vanuatu,0,0,2,1,1,0,1,25.976,45.7,1.0
111,Andi,Vulnerable,20000,Russian Federation,0,2,0,0,1,1,1,75.331,92.2,1.0
112,Andio,Threatened,1700,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
113,Anejom̃,Endangered,900,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
114,Anem,Endangered,843,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
115,Anfillo,Endangered,500,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
116,Angaité,Severely Endangered,780,Paraguay,0,0,0,0,0,0,1,63.149,78.1,1.0
117,Angor,Threatened,1250,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
118,Angoram,Threatened,6514,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
119,Anii,Vulnerable,25000,Togo;Benin,0,0,0,0,0,0,2,50.1,37.0,1.0
120,Animere,Severely Endangered,30,Ghana,0,0,0,0,0,0,1,59.238,69.9,1.0
121,Anindilyakwa,Threatened,1500,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
122,Anmatyerre,Threatened,1000,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
123,Anong,Critically Endangered,4040,China;Myanmar,0,0,0,0,0,0,2,64.57,77.5,1.0
124,Anor,Endangered,450,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
125,Antakirinya,Severely Endangered,50,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
126,Antekerrepenh,Critically Endangered,3,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
127,Anuki,Threatened,574,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
128,Anus,Endangered,320,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
129,Anuta,Endangered,340,Solomon Islands,0,0,0,0,0,0,1,26.037,42.5,1.0
130,Aore,Dormant,0,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
131,Ap Ma,Threatened,6500,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
132,Apalaí,Endangered,317,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
133,Apatani,Vulnerable,14000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
134,Apuriná,Endangered,400,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
135,Aputai,Endangered,150,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
136,Arabana-Wangkangurru,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
137,Arabela,Critically Endangered,30,Peru,0,0,0,0,0,0,1,78.922,79.5,1.0
138,Aragonese,Endangered,10000,Spain,0,0,0,1,0,0,1,81.552,95.4,1.0
139,Araki,Critically Endangered,15,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
140,Aranadan,Endangered,200,India,0,0,0,0,0,0,1,36.364,55.9,2.0
141,Arapaho,Severely Endangered,1000,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
142,Arapaso,Dormant,0,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
143,Araweté,Endangered,339,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
